Artkod;Schärenpflanze;Shoreplant
Persicaria_minor;0;0
Persicaria_hydropiper;0;0
Polygonum_aviculare;0;0
Polygonum_aviculare_ssp._boreale;0;1
Polygonum_oxyspermum;0;0
Fallopia_dumetorum;0;0
Fallopia_convolvulus;0;0
Chenopodium_album;0;0
Atriplex_patula;0;0
Atriplex_longipes_ssp._praecox;0;1
Atriplex_prostrata;0;1
Atriplex_littoralis;0;1
Suaeda_maritima;0;1
Salsola_kali;0;1
Salicornia_europaea;0;1
Montia_fontana;0;1
Stellaria_media,_die_typische_Meeresuferform;0;0
Stellaria_holostea;0;0
Stellaria_graminea;0;0
Cerastium_arvense;0;0
Cerastium_fontanum_ssp._vulgare;0;0
Cerastium_glutinosum;0;0
Cerastium_semidecandrum;0;0
Sagina_nodosa;0;0
Sagina_procumbens;0;0
Sagina_maritima;0;1
Honckenya_peploides;0;1
Moehringia_trinervia;0;0
Arenaria_serpyllifolia;0;0
Spergula_arvensis;0;0
Spergula_morisonii;0;0
Spergularia_rubra;0;0
Spergularia_salina;0;1
Sclereanthus_perennis;0;0
Scleranthus_annuus;0;0
Lychnis_viscaria;0;0
Silene_uniflora;383;0
Silene_nutans;0;0
Silene_viscosa;0;1
Lychnis_flos_cuculi;0;0
Silene_dioica;390;0
Dianthus_deltoides;0;0
Nymphaea_candida;0;0
Caltha_palustris;0;0
Actaea_spicata;0;0
Hepatica_nobilis;0;0
Anemone_nemorosa;0;0
Myosurus_minimus;0;0
Ranunculus_flammula;0;0
Ranunculus_reptans;0;0
Ranunculus_sceleratus;0;0
Ranunculus_auricomus;0;0
Ranunculus_cassubicus;0;0
Ranunculus_acris;0;0
Ranunculus_repens;0;0
Ranunculus_polyanthemos;0;0
Ranunculus_bulbosus;0;0
Ranunculus_ficaria;0;0
Thalictrum_simplex;0;0
Thalictrum_flavum;0;0
Chelidonium_majus;0;0
Lepidium_ruderale;0;0
Thlaspi_arvense;0;0
Cochlearia_danica;447;1
Alliaria_petiolata;0;0
Cakile_maritima_ssp._baltica;0;1
Isatis_tinctoria;0;1
Sinapis_arvensis;0;0
Brassica_rapa_ssp._oleifera;0;0
Raphanus_raphanistrum;0;0
Crambe_maritima;0;1
Barbaraea_vulgaris;0;0
Barbaraea_stricta;0;1
Armoracia_rusticana;0;0
Rorippa_sylvestris;0;0
Rorippa_palustris;0;0
Cardamine_pratensis_ssp._pratensis;0;0
Cardamine_pratensis_ssp._paludosa;0;0
Cardamine_hirsuta;466;0
Dentaria_bulbifera;0;0
Capsella_bursa_pastoris;0;0
Erophila_verna;0;0
Draba_muralis;0;0
Draba_incana;474;0
Arabidopsis_thaliana;0;0
Arabis_glabra;0;0
Arabis_hirsuta;0;0
Erysimum_cheiranthoides_ssp._cheiranthoides;0;0
Erysimum_strictum;481;0
Drosera_rotundifolia;0;0
Drosera_longifolia;0;0
Drosera_intermedia;0;0
Sedum_telephium_ssp._maximum;0;0
Sedum__annuum;0;0
Sedum__album;0;0
Sedum_acre;0;0
Crassula_aquatica;0;0
Saxifraga_tridactylites;0;0
Saxifraga_granulata;0;0
Parnassia_palustris;0;0
Ribes_uva-crispa;0;0
Ribes_nigrum;502;0
Ribes_rubrum;0;0
Ribes_spicatum_ssp._spicatum;0;0
Ribes_alpinum;0;0
Cotoneaster_scandinavicus;0;0
Malus_sylvestris;0;0
Malus_domestica;0;0
Sorbus_intermedia;0;0
Sorbus_hybrida;0;0
Sorbus_aucuparia;0;0
Crataegus_monogyna;0;0
Crataegus_rhibidophylla;0;0
Rubus_idaeus;0;0
Rubus_caesius;0;0
Rubus_saxatilis;0;0
Rubus_chamaemorus;0;0
Fragaria_vesca;0;0
Fragaria_viridis;0;0
Potentilla_palustris;0;0
Potentilla_argentea_-ryhmä;0;0
Potentilla_crantzii;0;0
Potentilla_erecta;0;0
Potentilla_reptans;0;0
Potentilla_anserina_ssp._anserina;0;1
Potentilla_anserina_ssp._egedii;0;0
Geum_urbanum;0;0
Geum_rivale;0;0
Filipendula_ulmaria;0;0
Filipendula_vulgaris;0;0
Alchemilla_filicaulis__ssp._filicaulis;0;0
Alchemilla_glaucescens;0;0
Alchemilla_monticola;0;0
Alchemilla_subcrenata;0;0
Agrimonia_eupatoria;556;0
Agrimonia_odorata;0;0
Rosa_majalis;558;0
Rosa_mollis;0;0
Rosa_dumalis_ssp._coriifolia;0;0
Prunus_spinosa;0;0
Prunus_padus;0;0
Medicago_sativa;0;0
Medicago_lupulina;0;0
Trifolium_spadiceum;0;0
Trifolium_fragiferum;0;0
Trifolium_repens;0;0
Trifolium_hybridum;0;0
Trifolium_montanum;0;0
Trifolium_arvense;0;0
Trifolium_pratense;0;0
Trifolium_medium;0;0
Lotus_corniculatus;0;1
Vicia_hirsuta;0;0
Vicia_tetrasperma;0;0
Vicia_sylvatica;0;0
Vicia_cracca;0;1
Vicia_sepium;0;0
Lathyrus_palustris;0;1
Lathyrus_japonicus_ssp.._maritimus;0;1
Lathyrus_pratensis;0;0
Lathyrus_linifolius;0;0
Lathyrus_vernus;0;0
Geranium_sanguineum;601;0
Geranium_syvaticum;0;0
Geranium_molle;0;0
Geranium_pusillum;0;0
Geranium_lucidum;0;0
Geranium_robertianum;0;0
Erodium_cicutarium;0;0
Oxalis_acetosella;0;0
Linum_catharticum;0;1
Polygala_vulgare;0;0
Polygala_amarella;0;0
Callitriche_palustris;0;0
Acer_platanoides;0;0
Rhamnus_cathartica;628;0
Rhamnus_frangula;0;0
Tilia_cordata;0;0
Malva_moschata;0;0
Hypericum_hirsutum;635;0
Hypericum_maculatum;0;0
Hypericum_perforatum;637;0
Helianthemum_nummularium;0;0
Viola_xruprechtiana;0;0
Viola_palustris;0;0
Viola_mirabilis;0;0
Viola_riviniana;0;0
Viola_canina_ssp.canina;0;0
Viola_tricolor;647;0
Viola_arvensis;0;0
Daphne_mezereum;0;0
Hippophaë_rhamnoides;0;1
Lythrum_salicaria;0;1
Epilobium_montanum;0;0
Epilobium_collinum;0;0
Epilobium_ciliatum;0;0
Epilobium_adenocaulon;0;0
Epilobium_palustre;0;0
Epilobium_angustifolium;0;0
Circaea_alpina;0;0
Hippuris_vulgaris;0;0
Sanicula_europaea;0;0
Anthriscus_sylvestris;0;0
Carum_carvi;0;0
Pimpinella_saxifraga;0;0
Aegopodium_podagraria;0;0
Angelica_sylvestris;0;0
Angelica_archangelica_ssp._litoralis;685;1
Levisticum_paludapifolium;0;0
Peucedanum_palustre;0;0
Heracleum_sibiricum;0;0
Laserpitium_latifolium;0;0
Torilis_japonica;0;0
Cornus_suecica;692;0
Empetrum_nigrum_(coll);0;0
Pyrola_chlorantha;0;0
Pyrola_rotundifolia;0;0
Pyrola_media;0;0
Pyrola_minor;0;0
Orthilia_secunda;0;0
Moneses_uniflora;0;0
Monotropa_hypopitys;0;0
Ledum_palustre;0;0
Arctostaphylos_uva_ursi;0;0
Vaccinium_oxycoccos;0;0
Vaccinium_vitis_idaea;0;0
Vaccinium_uliginosum;713;0
Vaccinium_myrtillus;0;0
Calluna_vulgaris;0;0
Primula_veris;0;0
Primula_farinosa;0;0
Lysimachia_vulgaris;0;1
Lysimachia_thyrsifolia;0;0
Trientalis_europaea;0;0
Glaux_maritima;0;1
Anagallis_minima;0;0
Fraxinus_excelsior_(bestånd);0;0
Fraxinus_excelsior_(enskilda);0;0
Centaurium_littorale;0;1
Centaurium_pulchellum;0;1
Gentianella_campestris_var._Suecica;0;0
Gentianella_amarella_ssp._lingulata;0;0
Gentianella_uliginosa;0;0
Menyanthes_trifoliata;0;0
Vincetoxicum_hirundinaria;739;0
Cuscuta__europaea_ssp._halophyta;0;0
Calystegia_sepium_ssp._sepium;0;0
Asperugo_procumbens;0;0
Anchusa_arvensis;0;0
Myosotis_scorpioides;0;0
Myosotis_laxa_ssp._caespitosa;0;0
Myosotis_laxa_ssp._baltica;0;1
Myosotis_arvensis;0;0
Myosotis_ramosissima;0;0
Myosotis_stricta;0;0
Lithospermum_arvense;0;0
Echium_vulgare;0;0
Scutellaria_galericulata;0;0
Scutellaria_hastifolia;763;0
Glechoma_hederacea;0;0
Prunella_vulgaris;0;0
Galeopsis_bifida;0;1
Lamium_purpureum;0;0
Lamium_hybridum;0;0
Lamium_confertum;0;0
Stachys_sylvaticus;0;0
Stachys_palustris;0;1
Satureja_vulgaris;0;0
Satureja_acinos;0;0
Origanum_vulgare;787;0
Thymus_serpyllum;0;0
Lycopus_europaeus;0;0
Mentha_arvensis;0;0
Hyoscyamus_niger;0;0
Solanum_dulcamara;0;1
Verbascum_thapsus;0;0
Linaria_vulgaris;0;0
Scrophularia_nodosa;799;0
Limosella_aquatica;0;0
Veronica_longifolia;801;1
Veronica_spicata;0;0
Veronica_serpyllifolia;0;0
Veronica_arvensis;0;0
Veronica_verna;0;0
Veronica_scutellata;0;0
Veronica_chamaedrys;0;0
Veronica_officinalis;0;0
Melampyrum_cristatum;816;0
Melampyrum_pratense;0;0
Melampyrum_sylvaticum;0;0
Odontites_litoralis_;0;1
Odontites_vulgaris;0;0
Euphrasia_stricta_var._tenuis_;0;0
Euphrasia_nemorosa;0;0
Rhinanthus_serotinus;0;0
Rhinanthus_minor;0;0
Pedicularis_palustris;0;0
Plantago_major_ssp._major;0;0
Plantago_major_ssp._intermedia;0;1
Plantago_media;0;0
Plantago_lanceolata;0;0
Plantago_maritima;0;1
Galium_odoratum;0;0
Galium_aparine;0;0
Galium_spurium_ssp.vaillanti_;0;0
Galium_uliginosum;0;0
Galium_palustre;0;0
Galium_boreale;0;0
Galium_verum;0;0
Galium_album;0;0
Adoxa_moschatellina;0;0
Viburnum_opulus;0;0
Lonicera_xylosteum;0;0
Linnaea_borealis;0;0
Valerianella_locusta;0;0
Valeriana_officinalis;0;0
Valeriana_sambucifolia_ssp.salina;0;1
Succisa_pratensis;0;0
Campanula_rapunculoides;0;0
Campanula_trachelium;0;0
Campanula_rotundifolia;0;0
Campanula_persicifolia;0;0
Eupatorium_cannabinum;0;1
Solidago_virgaurea;0;0
Aster_tripolium;0;1
Erigeron_acer;0;0
Filago_arvensis;0;0
Antennaria_dioeca;0;0
Gnaphalium_sylvaticum;0;0
Gnaphalium_uliginosum;0;0
Inula_salicina;0;0
Bidens_tripartita;0;0
Anthemis_tinctoria;0;0
Anthemis_arvensis;0;0
Achillea_ptarmica;0;0
Achillea_millefolium;0;0
Tripleurospermum_inodorum;0;0
Tripleurospermum_maritimum_ssp._maritimum;0;1
Matricaria_matricarioides;0;0
Leucanthemum_vulgare;0;0
Tanacetum_vulgare;901;1
Artemisia_absinthium;0;0
Artemisia_campestris;0;0
Artemisia_vulgaris_var._vulgaris;0;0
Artemisia_vulgaris_var._coarctata;0;1
Tussilago_farfara;0;0
Senecio_vulgaris;0;0
Senecio_sylvaticus;0;0
Senecio_viscosus;0;0
Carlina_vulgaris;0;0
Arctium_minus;0;0
Arctium_vulgare;0;0
Arctium_tomentosum;0;0
Cirsium_vulgare;0;0
Cirsium_palustre;0;0
Cirsium_helenioides;0;0
Cirsium_arvense_var._arvense;0;0
Centaurea_cyanus;0;0
Centaurea_jacea;0;0
Lapsana_communis;0;0
Leontodon_autumnalis;0;0
Tragopogon_pratensis;0;0
Crepis_tectorum;0;0
Sonchus_arvensis_var._arvensis;0;0
Sonchus_arvensis_var._maritimus;0;1
Sonchus_oleraceus;0;0
Sonchus_asper;0;0
Mycelis_muralis;0;0
Pilosella_officinarum;0;0
Hieracium_umbellatum;0;0
Rosa_rugosa;0;1
Taraxacum_officinale;0;0
Hieracium_sp.;0;0
Ligusticum_scoticum;0;1
Cardamine_impatiens;0;0
